okved_provider,okved_consumer,normalized_consumption
20.1,05,0.008777536493669936
20.1,06.10,0.022787968409438343
20.1,09.1,0.00020394205768999095
20.1,07.21,0.002722940776038121
20.1,07.1,0.007425524413890357
20.1,07.2,0.020886001735418963
20.1,08,0.13271299811082016
20.1,10.1,6.173396460269445e-05
20.1,10.2,5.618293162537221e-05
20.1,10.3,3.5887957795761645e-05
20.1,10.4,0.00020193240532223583
20.1,10.5,5.46354256099655e-05
20.1,10.6,0.0003229452607782981
20.1,10.9,2.8463636410683702e-05
20.1,10.8,0.0006837880257120289
20.1,11.0,0.0016597279529712832
20.1,12,0.0002869714941649129
20.1,13,0.004564872562096685
20.1,14,0.005549217888976971
20.1,15,0.0009861629017843387
20.1,16,0.003237497443239927
20.1,17,0.0055664450551468755
20.1,58.1,0.00231424375917768
20.1,18.1,0.00031495566998944886
20.1,18.2,0.00031495566998944886
20.1,19.1,0.04635658754231411
20.1,19.2,0.07556691077078478
20.1,20.1,0.14917808142244984
20.2,01.1,4.6651972255323374e-05
20.2,01.4,4.6651972255323374e-05
20.2,01.6,0.0
